"No.","Time","Source","Destination","Protocol","Length","Info"
"40","51.729670","20.100.0.1","10.100.0.1","S1AP/NAS-EPS","218","InitialUEMessage, Attach request, PDN connectivity request"
"41","51.776953","10.100.0.23","20.100.0.23","S1AP/NAS-EPS","118","DownlinkNASTransport, Authentication request"
"42","51.776754","20.100.0.6","10.100.0.6","DIAMETER","470","cmd=3GPP-Authentication-Information Answer(318) flags=-P-- appl=3GPP S6a/S6d(16777251) h2h=3d88d8b4 e2e=ba0bd02d | "
"43","51.777048","10.100.0.1","20.100.0.1","S1AP/NAS-EPS","142","DownlinkNASTransport, Authentication request"
"44","51.934208","10.100.0.1","20.100.0.1","S1AP/NAS-EPS","122","DownlinkNASTransport, Security mode command"
"45","51.934120","10.100.0.23","20.100.0.23","S1AP/NAS-EPS","98","DownlinkNASTransport, Security mode command"
"46","51.934000","20.100.0.23","10.100.0.23","S1AP/NAS-EPS","94","UplinkNASTransport, Authentication response"
"47","51.933912","20.100.0.1","10.100.0.1","S1AP/NAS-EPS","130","UplinkNASTransport, Authentication response"
"48","51.952739","10.100.0.6","20.100.0.6","DIAMETER","662","cmd=3GPP-Update-Location Request(316) flags=RP-- appl=3GPP S6a/S6d(16777251) h2h=3d88d8b5 e2e=ba0c5756 | "
"49","51.952561","20.100.0.23","10.100.0.23","S1AP/NAS-EPS","94","UplinkNASTransport, Security mode complete"
"50","51.952501","20.100.0.1","10.100.0.1","S1AP/NAS-EPS","134","UplinkNASTransport, Security mode complete"
"51","51.978845","20.100.0.6","10.100.0.6","DIAMETER","1358","cmd=3GPP-Update-Location Answer(316) flags=-P-- appl=3GPP S6a/S6d(16777251) h2h=3d88d8b5 e2e=ba0c5756 | "
"52","51.979769","10.100.0.11","20.100.0.11","GTPv2","307","Create Session Request"
"53","51.988074","20.100.0.11","10.100.0.11","GTPv2","184","Create Session Response"
"54","51.988351","10.100.0.20","20.100.0.20","SGSAP","174","SGsAP-LOCATION-UPDATE-REQUEST"
"55","52.008256","20.100.0.20","10.100.0.20","SGSAP","90","SGsAP-LOCATION-UPDATE-ACCEPT"
"56","52.008445","10.100.0.23","20.100.0.23","S1AP/NAS-EPS","218","DownlinkNASTransport, Attach accept, Activate default EPS bearer context request (PDN type IPv4 only allowed)"
"57","52.008683","10.100.0.1","20.100.0.1","S1AP/NAS-EPS","342","InitialContextSetupRequest, Attach accept, Activate default EPS bearer context request (PDN type IPv4 only allowed)"
"58","52.091087","20.100.0.23","10.100.0.23","S1AP/NAS-EPS","90","UplinkNASTransport, Attach complete, Activate default EPS bearer context accept"
"59","52.091155","20.100.0.1","10.100.0.1","S1AP","106","InitialContextSetupResponse"
